Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
19,4,2,388,336,0.004715,0.677000,500.000000,490.598998
18,0,0,0,0,0.000000,0.000000,500.000000,490.603057
17,0,0,0,0,0.000000,0.000000,500.000000,490.599986
16,0,0,0,0,0.000000,0.000000,500.000000,490.598146
15,0,0,0,0,0.000000,0.000000,500.000000,490.589236
14,0,0,0,0,0.000000,0.000000,500.000000,490.589021
13,0,0,0,0,0.000000,0.000000,500.000000,490.602633
0,513,2,28220,194,0.000725,4.801000,500.000000,490.600614
1,1,514,168,28246,0.000060,1.799000,500.000000,490.607898
2,0,0,0,0,0.000000,0.000000,500.000000,490.606442
3,0,0,0,0,0.000000,0.000000,500.000000,490.596993
4,0,0,0,0,0.000000,0.000000,500.000000,490.589604
5,0,0,0,0,0.000000,0.000000,500.000000,490.587090
6,0,0,0,0,0.000000,0.000000,500.000000,490.610034
7,0,0,0,0,0.000000,0.000000,500.000000,490.592181
8,0,0,0,0,0.000000,0.000000,500.000000,490.600888
9,0,0,0,0,0.000000,0.000000,500.000000,490.597136
10,0,0,0,0,0.000000,0.000000,500.000000,490.594030
11,0,0,0,0,0.000000,0.000000,500.000000,490.607374
12,0,0,0,0,0.000000,0.000000,500.000000,490.602517
ALL,518,518,28776,28776,0.000080,7.277000,10000.000000,9811.973879
