Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,388,336,0.503720,0.474000,500.000000,490.716435
8,0,0,0,0,0.000000,0.000000,500.000000,490.712729
7,0,0,0,0,0.000000,0.000000,500.000000,490.713891
6,0,0,0,0,0.000000,0.000000,500.000000,490.716278
5,0,0,0,0,0.000000,0.000000,500.000000,490.714308
4,0,0,0,0,0.000000,0.000000,500.000000,490.716559
3,0,0,0,0,0.000000,0.000000,500.000000,490.714947
2,0,0,0,0,0.000000,0.000000,500.000000,490.716627
1,1,514,168,28246,0.000073,1.380000,500.000000,490.720509
0,513,2,28220,194,0.002727,3.999000,500.000000,490.722991
ALL,518,518,28776,28776,0.002028,5.853000,5000.000000,4907.165274
