Node,OpName,Count,Total_us,Total_ms
9,"AEAD_ENCRYPT_GROUP_A",1,4,0.004
9,"AEAD_ENCRYPT_GROUP_B",1,5,0.005
9,"AUTH_VERIFY",2,465,0.465
1,"AEAD_DECRYPT_DATA",512,1027,1.027
1,"AEAD_DECRYPT_GROUP",1,1,0.001
1,"AUTH_ACK_VERIFY",1,199,0.199
1,"AUTH_GEN",1,153,0.153
0,"AEAD_DECRYPT_GROUP",1,2,0.002
0,"AEAD_ENCRYPT_DATA",512,3574,3.574
0,"AUTH_ACK_VERIFY",1,232,0.232
0,"AUTH_GEN",1,191,0.191
