Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
49,4,2,356,320,0.000000,0.420000,500.000000,499.015251
48,0,0,0,0,0.000000,0.000000,500.000000,499.012372
47,0,0,0,0,0.000000,0.000000,500.000000,499.011845
46,0,0,0,0,0.000000,0.000000,500.000000,499.011423
45,0,0,0,0,0.000000,0.000000,500.000000,499.014481
44,0,0,0,0,0.000000,0.000000,500.000000,499.014709
43,0,0,0,0,0.000000,0.000000,500.000000,499.012506
42,0,0,0,0,0.000000,0.000000,500.000000,499.014109
41,0,0,0,0,0.000000,0.000000,500.000000,499.011087
40,0,0,0,0,0.000000,0.000000,500.000000,499.005887
39,0,0,0,0,0.000000,0.000000,500.000000,499.012635
38,0,0,0,0,0.000000,0.000000,500.000000,499.013038
37,0,0,0,0,0.000000,0.000000,500.000000,499.011682
36,0,0,0,0,0.000000,0.000000,500.000000,499.011689
35,0,0,0,0,0.000000,0.000000,500.000000,499.014199
34,0,0,0,0,0.000000,0.000000,500.000000,499.017341
33,0,0,0,0,0.000000,0.000000,500.000000,499.018008
32,0,0,0,0,0.000000,0.000000,500.000000,499.014461
31,0,0,0,0,0.000000,0.000000,500.000000,499.011416
30,0,0,0,0,0.000000,0.000000,500.000000,499.007513
29,0,0,0,0,0.000000,0.000000,500.000000,499.012673
12,0,0,0,0,0.000000,0.000000,500.000000,499.012679
11,0,0,0,0,0.000000,0.000000,500.000000,499.009109
10,0,0,0,0,0.000000,0.000000,500.000000,499.004427
9,0,0,0,0,0.000000,0.000000,500.000000,499.011302
8,0,0,0,0,0.000000,0.000000,500.000000,499.013409
7,0,0,0,0,0.000000,0.000000,500.000000,499.014468
6,0,0,0,0,0.000000,0.000000,500.000000,499.013550
5,0,0,0,0,0.000000,0.000000,500.000000,499.014716
4,0,0,0,0,0.000000,0.000000,500.000000,499.015335
3,0,0,0,0,0.000000,0.000000,500.000000,499.016087
2,0,0,0,0,0.000000,0.000000,500.000000,499.011691
1,1,502,160,27570,0.000046,1.745000,500.000000,499.010512
0,501,2,27552,178,0.000000,5.287000,500.000000,499.008763
13,0,0,0,0,0.000000,0.000000,500.000000,499.016011
14,0,0,0,0,0.000000,0.000000,500.000000,499.016578
15,0,0,0,0,0.000000,0.000000,500.000000,499.014544
16,0,0,0,0,0.000000,0.000000,500.000000,499.011936
17,0,0,0,0,0.000000,0.000000,500.000000,499.012087
18,0,0,0,0,0.000000,0.000000,500.000000,499.013394
19,0,0,0,0,0.000000,0.000000,500.000000,499.013628
20,0,0,0,0,0.000000,0.000000,500.000000,499.004784
21,0,0,0,0,0.000000,0.000000,500.000000,499.007844
22,0,0,0,0,0.000000,0.000000,500.000000,499.011844
23,0,0,0,0,0.000000,0.000000,500.000000,499.016676
24,0,0,0,0,0.000000,0.000000,500.000000,499.014913
25,0,0,0,0,0.000000,0.000000,500.000000,499.012660
26,0,0,0,0,0.000000,0.000000,500.000000,499.009058
27,0,0,0,0,0.000000,0.000000,500.000000,499.009951
28,0,0,0,0,0.000000,0.000000,500.000000,499.011266
ALL,506,506,28068,28068,0.000046,7.452000,25000.000000,24950.621545
