Node,OpName,Count,Total_us,Total_ms
1,"AEAD_DECRYPT_DATA",88,231,0.231
1,"AEAD_DECRYPT_GROUP",1,6,0.006
1,"AUTH_ACK_VERIFY",1,219,0.219
1,"AUTH_GEN",1,190,0.19
39,"AEAD_ENCRYPT_GROUP_A",1,4,0.004
39,"AEAD_ENCRYPT_GROUP_B",1,3,0.003
39,"AUTH_VERIFY",2,640,0.64
0,"AEAD_ENCRYPT_DATA",88,804,0.804
0,"AUTH_ACK_VERIFY",1,251,0.251
0,"AUTH_GEN",1,214,0.214
