Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,356,320,0.000000,0.451000,500.000000,500.000000
8,0,0,0,0,0.000000,0.000000,500.000000,500.000000
7,0,0,0,0,0.000000,0.000000,500.000000,500.000000
6,0,0,0,0,0.000000,0.000000,500.000000,500.000000
5,0,0,0,0,0.000000,0.000000,500.000000,500.000000
4,0,0,0,0,0.000000,0.000000,500.000000,500.000000
3,0,0,0,0,0.000000,0.000000,500.000000,500.000000
2,0,0,0,0,0.000000,0.000000,500.000000,500.000000
1,1,502,160,27570,0.000066,1.263000,500.000000,500.000000
0,501,2,27552,178,0.000000,3.136000,500.000000,500.000000
ALL,506,506,28068,28068,0.000065,4.850000,5000.000000,5000.000000
