Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,356,320,0.000000,0.554000,500.000000,500.000000
8,0,0,0,0,0.000000,0.000000,500.000000,500.000000
7,0,0,0,0,0.000000,0.000000,500.000000,500.000000
6,0,0,0,0,0.000000,0.000000,500.000000,500.000000
5,0,0,0,0,0.000000,0.000000,500.000000,500.000000
4,0,0,0,0,0.000000,0.000000,500.000000,500.000000
3,0,0,0,0,0.000000,0.000000,500.000000,500.000000
2,0,0,0,0,0.000000,0.000000,500.000000,500.000000
1,1,46,160,2545,0.000243,0.499000,500.000000,500.000000
0,45,2,2527,178,0.000000,0.760000,500.000000,500.000000
ALL,50,50,3043,3043,0.000224,1.813000,5000.000000,5000.000000
