Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,356,320,0.000000,0.444000,500.000000,500.000000
8,0,0,0,0,0.000000,0.000000,500.000000,500.000000
7,0,0,0,0,0.000000,0.000000,500.000000,500.000000
6,0,0,0,0,0.000000,0.000000,500.000000,500.000000
5,0,0,0,0,0.000000,0.000000,500.000000,500.000000
4,0,0,0,0,0.000000,0.000000,500.000000,500.000000
3,0,0,0,0,0.000000,0.000000,500.000000,500.000000
2,0,0,0,0,0.000000,0.000000,500.000000,500.000000
1,1,882,160,48470,0.000057,2.233000,500.000000,500.000000
0,881,2,48452,178,0.000000,5.655000,500.000000,500.000000
ALL,886,886,48968,48968,0.000057,8.332000,5000.000000,5000.000000
