Node,OpName,Count,Total_us,Total_ms
59,"AEAD_ENCRYPT_GROUP_A",1,5,0.005
59,"AEAD_ENCRYPT_GROUP_B",1,3,0.003
59,"AUTH_VERIFY",2,834,0.834
1,"AEAD_DECRYPT_DATA",511,1900,1.9
1,"AEAD_DECRYPT_GROUP",1,3,0.003
1,"AUTH_ACK_VERIFY",1,284,0.284
1,"AUTH_GEN",1,186,0.186
0,"AEAD_DECRYPT_GROUP",1,3,0.003
0,"AEAD_ENCRYPT_DATA",512,6037,6.037
0,"AUTH_ACK_VERIFY",1,305,0.305
0,"AUTH_GEN",1,197,0.197
