Node,OpName,Count,Total_us,Total_ms
9,"AEAD_ENCRYPT_GROUP_A",1,6,0.006
9,"AEAD_ENCRYPT_GROUP_B",1,3,0.003
9,"AUTH_VERIFY",2,844,0.844
1,"AEAD_DECRYPT_DATA",500,1672,1.672
1,"AEAD_DECRYPT_GROUP",1,1,0.001
1,"AUTH_ACK_VERIFY",1,321,0.321
1,"AUTH_GEN",1,269,0.269
0,"AEAD_DECRYPT_GROUP",1,2,0.002
0,"AEAD_ENCRYPT_DATA",500,4887,4.887
0,"AUTH_ACK_VERIFY",1,281,0.281
0,"AUTH_GEN",1,373,0.373
