Node,OpName,Count,Total_us,Total_ms
4,"AUTH_REQ_VERIFY_AND_ACK",1,171,0.171
0,"AUTH_ACK_VERIFY",1,162,0.162
0,"AUTH_REQ_GEN",1,133,0.133
