Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,388,336,0.503720,0.458000,500.000000,499.087817
8,0,0,0,0,0.000000,0.000000,500.000000,499.087657
7,0,0,0,0,0.000000,0.000000,500.000000,499.087132
6,0,0,0,0,0.000000,0.000000,500.000000,499.087657
5,0,0,0,0,0.000000,0.000000,500.000000,499.088217
4,0,0,0,0,0.000000,0.000000,500.000000,499.087889
3,0,0,0,0,0.000000,0.000000,500.000000,499.087580
2,0,0,0,0,0.000000,0.000000,500.000000,499.088452
1,1,12,168,725,0.001282,0.463000,500.000000,499.088072
0,11,2,699,194,0.002727,0.425000,500.000000,499.088369
ALL,16,16,1255,1255,0.064268,1.346000,5000.000000,4990.878844
