Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
19,4,2,388,336,0.004715,0.639000,500.000000,499.074251
18,0,0,0,0,0.000000,0.000000,500.000000,499.074135
17,0,0,0,0,0.000000,0.000000,500.000000,499.074348
16,0,0,0,0,0.000000,0.000000,500.000000,499.074612
15,0,0,0,0,0.000000,0.000000,500.000000,499.072841
14,0,0,0,0,0.000000,0.000000,500.000000,499.073351
13,0,0,0,0,0.000000,0.000000,500.000000,499.074482
0,89,2,4911,194,0.000725,1.524000,500.000000,499.074027
1,1,90,168,4937,0.000132,0.645000,500.000000,499.075301
2,0,0,0,0,0.000000,0.000000,500.000000,499.074671
3,0,0,0,0,0.000000,0.000000,500.000000,499.074226
4,0,0,0,0,0.000000,0.000000,500.000000,499.073351
5,0,0,0,0,0.000000,0.000000,500.000000,499.072305
6,0,0,0,0,0.000000,0.000000,500.000000,499.075106
7,0,0,0,0,0.000000,0.000000,500.000000,499.073961
8,0,0,0,0,0.000000,0.000000,500.000000,499.074068
9,0,0,0,0,0.000000,0.000000,500.000000,499.073444
10,0,0,0,0,0.000000,0.000000,500.000000,499.073508
11,0,0,0,0,0.000000,0.000000,500.000000,499.074834
12,0,0,0,0,0.000000,0.000000,500.000000,499.074316
ALL,94,94,5467,5467,0.000242,2.808000,10000.000000,9981.481139
