Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
39,4,2,388,336,1.634903,0.575000,500.000000,490.188835
38,0,0,0,0,0.000000,0.000000,500.000000,490.233787
37,0,0,0,0,0.000000,0.000000,500.000000,490.268676
36,0,0,0,0,0.000000,0.000000,500.000000,490.300477
35,0,0,0,0,0.000000,0.000000,500.000000,490.295298
34,0,0,0,0,0.000000,0.000000,500.000000,490.291702
33,0,0,0,0,0.000000,0.000000,500.000000,490.255674
32,0,0,0,0,0.000000,0.000000,500.000000,490.257498
31,0,0,0,0,0.000000,0.000000,500.000000,490.278223
30,0,0,0,0,0.000000,0.000000,500.000000,490.272754
29,0,0,0,0,0.000000,0.000000,500.000000,490.217725
12,0,0,0,0,0.000000,0.000000,500.000000,490.265704
11,0,0,0,0,0.000000,0.000000,500.000000,490.281402
10,0,0,0,0,0.000000,0.000000,500.000000,490.272241
9,0,0,0,0,0.000000,0.000000,500.000000,490.196479
8,0,0,0,0,0.000000,0.000000,500.000000,490.243244
7,0,0,0,0,0.000000,0.000000,500.000000,490.269420
6,0,0,0,0,0.000000,0.000000,500.000000,490.312070
5,0,0,0,0,0.000000,0.000000,500.000000,490.305003
4,0,0,0,0,0.000000,0.000000,500.000000,490.304043
3,0,0,0,0,0.000000,0.000000,500.000000,490.271660
2,0,0,0,0,0.000000,0.000000,500.000000,490.245766
1,1,514,168,28246,0.000051,1.580000,500.000000,490.301721
0,513,1,28220,126,0.004563,4.949000,500.000000,490.277041
13,0,0,0,0,0.000000,0.000000,500.000000,490.259541
14,0,0,0,0,0.000000,0.000000,500.000000,490.291979
15,0,0,0,0,0.000000,0.000000,500.000000,490.325181
16,0,0,0,0,0.000000,0.000000,500.000000,490.336747
17,0,0,0,0,0.000000,0.000000,500.000000,490.273371
18,0,0,0,0,0.000000,0.000000,500.000000,490.236525
19,0,0,0,0,0.000000,0.000000,500.000000,490.207671
20,0,0,0,0,0.000000,0.000000,500.000000,490.288917
21,0,0,0,0,0.000000,0.000000,500.000000,490.282207
22,0,0,0,0,0.000000,0.000000,500.000000,490.262349
23,0,0,0,0,0.000000,0.000000,500.000000,490.251425
24,0,0,0,0,0.000000,0.000000,500.000000,490.292683
25,0,0,0,0,0.000000,0.000000,500.000000,490.322596
26,0,0,0,0,0.000000,0.000000,500.000000,490.327144
27,0,0,0,0,0.000000,0.000000,500.000000,490.278390
28,0,0,0,0,0.000000,0.000000,500.000000,490.238415
ALL,518,517,28776,28708,0.006384,7.104000,20000.000000,19610.881582
