Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
59,4,2,388,336,0.249301,0.583000,500.000000,499.022118
28,0,0,0,0,0.000000,0.000000,500.000000,499.023716
27,0,0,0,0,0.000000,0.000000,500.000000,499.022873
26,0,0,0,0,0.000000,0.000000,500.000000,499.019549
25,0,0,0,0,0.000000,0.000000,500.000000,499.015870
24,0,0,0,0,0.000000,0.000000,500.000000,499.017052
23,0,0,0,0,0.000000,0.000000,500.000000,499.021892
22,0,0,0,0,0.000000,0.000000,500.000000,499.024547
21,0,0,0,0,0.000000,0.000000,500.000000,499.027118
20,0,0,0,0,0.000000,0.000000,500.000000,499.025891
19,0,0,0,0,0.000000,0.000000,500.000000,499.019499
18,0,0,0,0,0.000000,0.000000,500.000000,499.023016
17,0,0,0,0,0.000000,0.000000,500.000000,499.020680
16,0,0,0,0,0.000000,0.000000,500.000000,499.014453
15,0,0,0,0,0.000000,0.000000,500.000000,499.017569
14,0,0,0,0,0.000000,0.000000,500.000000,499.016500
13,0,0,0,0,0.000000,0.000000,500.000000,499.022770
0,89,2,4911,194,0.000488,1.331000,500.000000,499.023724
1,1,90,168,4937,0.000212,0.667000,500.000000,499.025355
2,0,0,0,0,0.000000,0.000000,500.000000,499.021772
3,0,0,0,0,0.000000,0.000000,500.000000,499.017741
4,0,0,0,0,0.000000,0.000000,500.000000,499.015187
5,0,0,0,0,0.000000,0.000000,500.000000,499.013215
6,0,0,0,0,0.000000,0.000000,500.000000,499.015056
7,0,0,0,0,0.000000,0.000000,500.000000,499.020730
8,0,0,0,0,0.000000,0.000000,500.000000,499.019366
9,0,0,0,0,0.000000,0.000000,500.000000,499.015889
10,0,0,0,0,0.000000,0.000000,500.000000,499.022908
11,0,0,0,0,0.000000,0.000000,500.000000,499.025763
12,0,0,0,0,0.000000,0.000000,500.000000,499.027279
29,0,0,0,0,0.000000,0.000000,500.000000,499.020535
30,0,0,0,0,0.000000,0.000000,500.000000,499.022980
31,0,0,0,0,0.000000,0.000000,500.000000,499.025421
32,0,0,0,0,0.000000,0.000000,500.000000,499.025627
33,0,0,0,0,0.000000,0.000000,500.000000,499.022370
34,0,0,0,0,0.000000,0.000000,500.000000,499.018263
35,0,0,0,0,0.000000,0.000000,500.000000,499.019314
36,0,0,0,0,0.000000,0.000000,500.000000,499.023038
37,0,0,0,0,0.000000,0.000000,500.000000,499.025282
38,0,0,0,0,0.000000,0.000000,500.000000,499.024398
39,0,0,0,0,0.000000,0.000000,500.000000,499.024390
40,0,0,0,0,0.000000,0.000000,500.000000,499.022854
41,0,0,0,0,0.000000,0.000000,500.000000,499.022921
42,0,0,0,0,0.000000,0.000000,500.000000,499.022981
43,0,0,0,0,0.000000,0.000000,500.000000,499.023197
44,0,0,0,0,0.000000,0.000000,500.000000,499.018264
45,0,0,0,0,0.000000,0.000000,500.000000,499.016557
46,0,0,0,0,0.000000,0.000000,500.000000,499.021325
47,0,0,0,0,0.000000,0.000000,500.000000,499.023246
48,0,0,0,0,0.000000,0.000000,500.000000,499.023510
49,0,0,0,0,0.000000,0.000000,500.000000,499.022303
50,0,0,0,0,0.000000,0.000000,500.000000,499.017766
51,0,0,0,0,0.000000,0.000000,500.000000,499.018954
52,0,0,0,0,0.000000,0.000000,500.000000,499.019178
53,0,0,0,0,0.000000,0.000000,500.000000,499.018653
54,0,0,0,0,0.000000,0.000000,500.000000,499.014560
55,0,0,0,0,0.000000,0.000000,500.000000,499.012104
56,0,0,0,0,0.000000,0.000000,500.000000,499.018849
57,0,0,0,0,0.000000,0.000000,500.000000,499.022675
58,0,0,0,0,0.000000,0.000000,500.000000,499.023771
ALL,94,94,5467,5467,0.005518,2.581000,30000.000000,29941.254385
