Node,OpName,Count,Total_us,Total_ms
59,"AEAD_ENCRYPT_GROUP_A",1,5,0.005
59,"AEAD_ENCRYPT_GROUP_B",1,3,0.003
59,"AUTH_VERIFY",2,575,0.575
1,"AEAD_DECRYPT_DATA",88,238,0.238
1,"AEAD_DECRYPT_GROUP",1,3,0.003
1,"AUTH_ACK_VERIFY",1,224,0.224
1,"AUTH_GEN",1,202,0.202
0,"AEAD_DECRYPT_GROUP",1,4,0.004
0,"AEAD_ENCRYPT_DATA",88,780,0.78
0,"AUTH_ACK_VERIFY",1,261,0.261
0,"AUTH_GEN",1,286,0.286
