Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
29,4,2,388,336,0.004704,0.562000,500.000000,490.468890
12,0,0,0,0,0.000000,0.000000,500.000000,490.478268
11,0,0,0,0,0.000000,0.000000,500.000000,490.487126
10,0,0,0,0,0.000000,0.000000,500.000000,490.487424
9,0,0,0,0,0.000000,0.000000,500.000000,490.467006
8,0,0,0,0,0.000000,0.000000,500.000000,490.476441
7,0,0,0,0,0.000000,0.000000,500.000000,490.476182
6,0,0,0,0,0.000000,0.000000,500.000000,490.478538
5,0,0,0,0,0.000000,0.000000,500.000000,490.470479
4,0,0,0,0,0.000000,0.000000,500.000000,490.461653
3,0,0,0,0,0.000000,0.000000,500.000000,490.450984
2,0,0,0,0,0.000000,0.000000,500.000000,490.483046
1,1,514,168,28246,0.000073,1.352000,500.000000,490.470349
0,513,2,28220,194,0.000893,4.235000,500.000000,490.487884
13,0,0,0,0,0.000000,0.000000,500.000000,490.467460
14,0,0,0,0,0.000000,0.000000,500.000000,490.490925
15,0,0,0,0,0.000000,0.000000,500.000000,490.473486
16,0,0,0,0,0.000000,0.000000,500.000000,490.481599
17,0,0,0,0,0.000000,0.000000,500.000000,490.489301
18,0,0,0,0,0.000000,0.000000,500.000000,490.482785
19,0,0,0,0,0.000000,0.000000,500.000000,490.471717
20,0,0,0,0,0.000000,0.000000,500.000000,490.487720
21,0,0,0,0,0.000000,0.000000,500.000000,490.481079
22,0,0,0,0,0.000000,0.000000,500.000000,490.472340
23,0,0,0,0,0.000000,0.000000,500.000000,490.466849
24,0,0,0,0,0.000000,0.000000,500.000000,490.460171
25,0,0,0,0,0.000000,0.000000,500.000000,490.464658
26,0,0,0,0,0.000000,0.000000,500.000000,490.471056
27,0,0,0,0,0.000000,0.000000,500.000000,490.480122
28,0,0,0,0,0.000000,0.000000,500.000000,490.483558
ALL,518,518,28776,28776,0.000094,6.149000,15000.000000,14714.269096
