Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
69,4,2,388,336,0.006692,0.605000,500.000000,499.004386
68,0,0,0,0,0.000000,0.000000,500.000000,499.004511
67,0,0,0,0,0.000000,0.000000,500.000000,499.007256
66,0,0,0,0,0.000000,0.000000,500.000000,499.008391
65,0,0,0,0,0.000000,0.000000,500.000000,499.004973
64,0,0,0,0,0.000000,0.000000,500.000000,499.002956
63,0,0,0,0,0.000000,0.000000,500.000000,499.006243
62,0,0,0,0,0.000000,0.000000,500.000000,499.006897
61,0,0,0,0,0.000000,0.000000,500.000000,499.006936
60,0,0,0,0,0.000000,0.000000,500.000000,499.004382
59,0,0,0,0,0.000000,0.000000,500.000000,499.007571
28,0,0,0,0,0.000000,0.000000,500.000000,499.011763
27,0,0,0,0,0.000000,0.000000,500.000000,499.014021
26,0,0,0,0,0.000000,0.000000,500.000000,499.009320
25,0,0,0,0,0.000000,0.000000,500.000000,499.002346
24,0,0,0,0,0.000000,0.000000,500.000000,499.002118
23,0,0,0,0,0.000000,0.000000,500.000000,499.004728
22,0,0,0,0,0.000000,0.000000,500.000000,499.010128
21,0,0,0,0,0.000000,0.000000,500.000000,499.014234
20,0,0,0,0,0.000000,0.000000,500.000000,499.013089
19,0,0,0,0,0.000000,0.000000,500.000000,499.010383
18,0,0,0,0,0.000000,0.000000,500.000000,499.010221
17,0,0,0,0,0.000000,0.000000,500.000000,499.012857
16,0,0,0,0,0.000000,0.000000,500.000000,499.006257
15,0,0,0,0,0.000000,0.000000,500.000000,499.003400
14,0,0,0,0,0.000000,0.000000,500.000000,499.003629
13,0,0,0,0,0.000000,0.000000,500.000000,499.009533
0,89,2,4911,194,0.000280,1.326000,500.000000,499.005459
1,1,90,168,4937,0.000199,0.765000,500.000000,499.004895
2,0,0,0,0,0.000000,0.000000,500.000000,499.005272
3,0,0,0,0,0.000000,0.000000,500.000000,499.004498
4,0,0,0,0,0.000000,0.000000,500.000000,499.003636
5,0,0,0,0,0.000000,0.000000,500.000000,499.004018
6,0,0,0,0,0.000000,0.000000,500.000000,499.002791
7,0,0,0,0,0.000000,0.000000,500.000000,499.007188
8,0,0,0,0,0.000000,0.000000,500.000000,499.009287
9,0,0,0,0,0.000000,0.000000,500.000000,499.007034
10,0,0,0,0,0.000000,0.000000,500.000000,499.009684
11,0,0,0,0,0.000000,0.000000,500.000000,499.011630
12,0,0,0,0,0.000000,0.000000,500.000000,499.008012
29,0,0,0,0,0.000000,0.000000,500.000000,499.010911
30,0,0,0,0,0.000000,0.000000,500.000000,499.013136
31,0,0,0,0,0.000000,0.000000,500.000000,499.014261
32,0,0,0,0,0.000000,0.000000,500.000000,499.012254
33,0,0,0,0,0.000000,0.000000,500.000000,499.004862
34,0,0,0,0,0.000000,0.000000,500.000000,499.002737
35,0,0,0,0,0.000000,0.000000,500.000000,499.000883
36,0,0,0,0,0.000000,0.000000,500.000000,499.007714
37,0,0,0,0,0.000000,0.000000,500.000000,499.010091
38,0,0,0,0,0.000000,0.000000,500.000000,499.010703
39,0,0,0,0,0.000000,0.000000,500.000000,499.008721
40,0,0,0,0,0.000000,0.000000,500.000000,499.011712
41,0,0,0,0,0.000000,0.000000,500.000000,499.013262
42,0,0,0,0,0.000000,0.000000,500.000000,499.014053
43,0,0,0,0,0.000000,0.000000,500.000000,499.006198
44,0,0,0,0,0.000000,0.000000,500.000000,499.004235
45,0,0,0,0,0.000000,0.000000,500.000000,499.003533
46,0,0,0,0,0.000000,0.000000,500.000000,499.007551
47,0,0,0,0,0.000000,0.000000,500.000000,499.010072
48,0,0,0,0,0.000000,0.000000,500.000000,499.010786
49,0,0,0,0,0.000000,0.000000,500.000000,499.009772
50,0,0,0,0,0.000000,0.000000,500.000000,499.008915
51,0,0,0,0,0.000000,0.000000,500.000000,499.008334
52,0,0,0,0,0.000000,0.000000,500.000000,499.013338
53,0,0,0,0,0.000000,0.000000,500.000000,499.008842
54,0,0,0,0,0.000000,0.000000,500.000000,499.005958
55,0,0,0,0,0.000000,0.000000,500.000000,499.009712
56,0,0,0,0,0.000000,0.000000,500.000000,499.012046
57,0,0,0,0,0.000000,0.000000,500.000000,499.009570
58,0,0,0,0,0.000000,0.000000,500.000000,499.009161
ALL,94,94,5467,5467,0.000339,2.696000,35000.000000,34930.559258
