Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,388,336,0.503720,0.653000,500.000000,499.085706
8,0,0,0,0,0.000000,0.000000,500.000000,499.085545
7,0,0,0,0,0.000000,0.000000,500.000000,499.085020
6,0,0,0,0,0.000000,0.000000,500.000000,499.085546
5,0,0,0,0,0.000000,0.000000,500.000000,499.086106
4,0,0,0,0,0.000000,0.000000,500.000000,499.085778
3,0,0,0,0,0.000000,0.000000,500.000000,499.085469
2,0,0,0,0,0.000000,0.000000,500.000000,499.086341
1,1,90,168,4937,0.000210,0.768000,500.000000,499.086778
0,89,2,4911,194,0.002727,1.745000,500.000000,499.087027
ALL,94,94,5467,5467,0.010976,3.166000,5000.000000,4990.859315
