Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
49,4,2,388,336,0.004722,0.623000,500.000000,490.185747
48,0,0,0,0,0.000000,0.000000,500.000000,490.153572
47,0,0,0,0,0.000000,0.000000,500.000000,490.156253
46,0,0,0,0,0.000000,0.000000,500.000000,490.149397
45,0,0,0,0,0.000000,0.000000,500.000000,490.185979
44,0,0,0,0,0.000000,0.000000,500.000000,490.201425
43,0,0,0,0,0.000000,0.000000,500.000000,490.181199
42,0,0,0,0,0.000000,0.000000,500.000000,490.184293
41,0,0,0,0,0.000000,0.000000,500.000000,490.143342
40,0,0,0,0,0.000000,0.000000,500.000000,490.087015
39,0,0,0,0,0.000000,0.000000,500.000000,490.160071
38,0,0,0,0,0.000000,0.000000,500.000000,490.163106
37,0,0,0,0,0.000000,0.000000,500.000000,490.152552
36,0,0,0,0,0.000000,0.000000,500.000000,490.147831
35,0,0,0,0,0.000000,0.000000,500.000000,490.179913
34,0,0,0,0,0.000000,0.000000,500.000000,490.212336
33,0,0,0,0,0.000000,0.000000,500.000000,490.237381
32,0,0,0,0,0.000000,0.000000,500.000000,490.185352
31,0,0,0,0,0.000000,0.000000,500.000000,490.143898
30,0,0,0,0,0.000000,0.000000,500.000000,490.107272
29,0,0,0,0,0.000000,0.000000,500.000000,490.175424
12,0,0,0,0,0.000000,0.000000,500.000000,490.154868
11,0,0,0,0,0.000000,0.000000,500.000000,490.117986
10,0,0,0,0,0.000000,0.000000,500.000000,490.079419
9,0,0,0,0,0.000000,0.000000,500.000000,490.165570
8,0,0,0,0,0.000000,0.000000,500.000000,490.186751
7,0,0,0,0,0.000000,0.000000,500.000000,490.170454
6,0,0,0,0,0.000000,0.000000,500.000000,490.167925
5,0,0,0,0,0.000000,0.000000,500.000000,490.187530
4,0,0,0,0,0.000000,0.000000,500.000000,490.179428
3,0,0,0,0,0.000000,0.000000,500.000000,490.190842
2,0,0,0,0,0.000000,0.000000,500.000000,490.147665
1,1,514,168,28246,0.000070,1.599000,500.000000,490.105226
0,513,2,28220,194,0.001732,4.514000,500.000000,490.078142
13,0,0,0,0,0.000000,0.000000,500.000000,490.205985
14,0,0,0,0,0.000000,0.000000,500.000000,490.208131
15,0,0,0,0,0.000000,0.000000,500.000000,490.191133
16,0,0,0,0,0.000000,0.000000,500.000000,490.154782
17,0,0,0,0,0.000000,0.000000,500.000000,490.150763
18,0,0,0,0,0.000000,0.000000,500.000000,490.182356
19,0,0,0,0,0.000000,0.000000,500.000000,490.178990
20,0,0,0,0,0.000000,0.000000,500.000000,490.083279
21,0,0,0,0,0.000000,0.000000,500.000000,490.117522
22,0,0,0,0,0.000000,0.000000,500.000000,490.154954
23,0,0,0,0,0.000000,0.000000,500.000000,490.211066
24,0,0,0,0,0.000000,0.000000,500.000000,490.193177
25,0,0,0,0,0.000000,0.000000,500.000000,490.176130
26,0,0,0,0,0.000000,0.000000,500.000000,490.124170
27,0,0,0,0,0.000000,0.000000,500.000000,490.138140
28,0,0,0,0,0.000000,0.000000,500.000000,490.166354
ALL,518,518,28776,28776,0.000095,6.736000,25000.000000,24508.062098
