Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
49,4,2,388,336,0.004722,0.456000,500.000000,499.014843
48,0,0,0,0,0.000000,0.000000,500.000000,499.011601
47,0,0,0,0,0.000000,0.000000,500.000000,499.011785
46,0,0,0,0,0.000000,0.000000,500.000000,499.011380
45,0,0,0,0,0.000000,0.000000,500.000000,499.014803
44,0,0,0,0,0.000000,0.000000,500.000000,499.014380
43,0,0,0,0,0.000000,0.000000,500.000000,499.012692
42,0,0,0,0,0.000000,0.000000,500.000000,499.014857
41,0,0,0,0,0.000000,0.000000,500.000000,499.011295
40,0,0,0,0,0.000000,0.000000,500.000000,499.005286
39,0,0,0,0,0.000000,0.000000,500.000000,499.012483
38,0,0,0,0,0.000000,0.000000,500.000000,499.012795
37,0,0,0,0,0.000000,0.000000,500.000000,499.011257
36,0,0,0,0,0.000000,0.000000,500.000000,499.011810
35,0,0,0,0,0.000000,0.000000,500.000000,499.014372
34,0,0,0,0,0.000000,0.000000,500.000000,499.017064
33,0,0,0,0,0.000000,0.000000,500.000000,499.018303
32,0,0,0,0,0.000000,0.000000,500.000000,499.014090
31,0,0,0,0,0.000000,0.000000,500.000000,499.010850
30,0,0,0,0,0.000000,0.000000,500.000000,499.006901
29,0,0,0,0,0.000000,0.000000,500.000000,499.012465
12,0,0,0,0,0.000000,0.000000,500.000000,499.011505
11,0,0,0,0,0.000000,0.000000,500.000000,499.008952
10,0,0,0,0,0.000000,0.000000,500.000000,499.004035
9,0,0,0,0,0.000000,0.000000,500.000000,499.011720
8,0,0,0,0,0.000000,0.000000,500.000000,499.013605
7,0,0,0,0,0.000000,0.000000,500.000000,499.013966
6,0,0,0,0,0.000000,0.000000,500.000000,499.013436
5,0,0,0,0,0.000000,0.000000,500.000000,499.015012
4,0,0,0,0,0.000000,0.000000,500.000000,499.015230
3,0,0,0,0,0.000000,0.000000,500.000000,499.016299
2,0,0,0,0,0.000000,0.000000,500.000000,499.011567
1,1,502,168,27586,0.000074,1.430000,500.000000,499.011362
0,501,2,27560,194,0.001732,4.508000,500.000000,499.008600
13,0,0,0,0,0.000000,0.000000,500.000000,499.016357
14,0,0,0,0,0.000000,0.000000,500.000000,499.016339
15,0,0,0,0,0.000000,0.000000,500.000000,499.014334
16,0,0,0,0,0.000000,0.000000,500.000000,499.011620
17,0,0,0,0,0.000000,0.000000,500.000000,499.012101
18,0,0,0,0,0.000000,0.000000,500.000000,499.013764
19,0,0,0,0,0.000000,0.000000,500.000000,499.013601
20,0,0,0,0,0.000000,0.000000,500.000000,499.004286
21,0,0,0,0,0.000000,0.000000,500.000000,499.007777
22,0,0,0,0,0.000000,0.000000,500.000000,499.011365
23,0,0,0,0,0.000000,0.000000,500.000000,499.016474
24,0,0,0,0,0.000000,0.000000,500.000000,499.014943
25,0,0,0,0,0.000000,0.000000,500.000000,499.012852
26,0,0,0,0,0.000000,0.000000,500.000000,499.009184
27,0,0,0,0,0.000000,0.000000,500.000000,499.009644
28,0,0,0,0,0.000000,0.000000,500.000000,499.011105
ALL,506,506,28116,28116,0.000099,6.394000,25000.000000,24950.616346
